Province,Temple
PrachinBuri,วัดบางกระเบา
PrachinBuri,วัดแก้วพิจิตร
PrachinBuri,วัดคชรัตน์
PrachinBuri,วัดคลองกลาง
PrachinBuri,วัดโคกป่าแพง
PrachinBuri,วัดท่าพาณิชย์
PrachinBuri,วัดทุ่งแฝก
PrachinBuri,วัดนางเลง
PrachinBuri,วัดปากแพรก
PrachinBuri,วัดพระยาทำ
PrachinBuri,วัดศรีกบินทร์
PrachinBuri,วัดสระดู่
PrachinBuri,วัดโสมสุทธาวาส
PrachinBuri,วัดคลองตามั่น
PrachinBuri,วัดบรรพตรัตนาราม
PrachinBuri,วัดชามีพุทโธวาท
PrachinBuri,วัดตันทาราม
PrachinBuri,วัดนูประสาทวราวาส
PrachinBuri,วัดโนนสะอาด
PrachinBuri,วัดบ้านโคกสว่าง
PrachinBuri,วัดมุ่งประสิทธิ์
PrachinBuri,วัดศรีสุวรรณาราม
PrachinBuri,วัดสระขุด
PrachinBuri,วัดหนองบัว
PrachinBuri,วัดเจริญราษฎร์รังสรรค์
PrachinBuri,วัดท่าอุดมสมบูรณาราม
PrachinBuri,วัดเนาวรัตนาราม
PrachinBuri,วัดบรรพตเขมาราม
PrachinBuri,วัดศรีสวัสดิ์
PrachinBuri,วัดสำโรงวนาราม
PrachinBuri,วัดกรุงราษฎร์บำรุง
PrachinBuri,วัดบ่อทองรังสรรค์
PrachinBuri,วัดหนองไผ่ล้อม
PrachinBuri,วัดเหลืองทองรังษี
PrachinBuri,วัดนาคำ
PrachinBuri,วัดวัฒนารังษี
PrachinBuri,วัดสมศรีราษฎร์
PrachinBuri,วัดหนองโดน
PrachinBuri,วัดหนองนาใน
PrachinBuri,วัดหนองสังข์
PrachinBuri,วัดกลางเมืองเก่า
PrachinBuri,วัดแก้วฟ้ารังษี
PrachinBuri,วัดท่าข่อย
PrachinBuri,วัดนครกบินทร์
PrachinBuri,วัดมหาไชย
PrachinBuri,วัดราษฎร์รังษี
PrachinBuri,วัดเวฬุวนาราม
PrachinBuri,วัดศรีบุญเรือง
PrachinBuri,วัดศีรษะเมือง
PrachinBuri,วัดสว่างอารมณ์
PrachinBuri,วัดหลวงบดินทร์เดชา
PrachinBuri,วัดอัมพวัน
PrachinBuri,วัดเขาวงศ์
PrachinBuri,วัดโคกสว่าง
PrachinBuri,วัดตรอกปลาไหล
PrachinBuri,วัดย่านรี
PrachinBuri,วัดวาปีรัตนาราม
PrachinBuri,วัดสิกขวัฒนาราม
PrachinBuri,วัดเขาลูกช้าง
PrachinBuri,วัดคลองร่วมพัฒนา
PrachinBuri,วัดโคกมะม่วง
PrachinBuri,วัดบุญเกิด
PrachinBuri,วัดปทุมสราราม
PrachinBuri,วัดป่าภาวนาธรรม
PrachinBuri,วัดลาดไพรจิตร
PrachinBuri,วัดหนองคล้า
PrachinBuri,วัดหนองตลาด
PrachinBuri,วัดหนองนมหนู
PrachinBuri,วัดไพบูลย์ศรัทธาทำ
PrachinBuri,วัดรัตนชมภู
PrachinBuri,วัดรัตนโชติการาม
PrachinBuri,วัดสามัคคีสโมสร
PrachinBuri,วัดหนองศรีวิชัย
PrachinBuri,วัดใหม่พรหมสุวรรณ
PrachinBuri,วัดอินทร์ประชาราษฎร์
PrachinBuri,วัดคลองระกำ
PrachinBuri,วัดจันทรังษี
PrachinBuri,วัดเนินสูง
PrachinBuri,วัดบ้านแก่ง
PrachinBuri,วัดโพธิ์ศรีถาวร
PrachinBuri,วัดหนองคล้า
PrachinBuri,วัดหนองหอย
PrachinBuri,วัดใหม่สระบุรี
PrachinBuri,วัดวังกวาง
PrachinBuri,วัดวังดินสอ
PrachinBuri,วัดวังมะกรูด
PrachinBuri,วัดโปร่งพัฒนาราม
PrachinBuri,วัดคลองมะเลา
PrachinBuri,วัดโคกขี้เหล็ก
PrachinBuri,วัดโคกลาน
PrachinBuri,วัดโคกอุดม
PrachinBuri,วัดเนินแสงทอง
PrachinBuri,วัดศรีวนาลัย
PrachinBuri,วัดอุดมสันติ
PrachinBuri,วัดป่าหาดนางแก้ว
PrachinBuri,วัดป่าหาดนางแก้ว
PrachinBuri,วัดวังบัวทอง
PrachinBuri,วัดหาดสูง
PrachinBuri,วัดโนนสูง
PrachinBuri,วัดหนองจรเข้
PrachinBuri,วัดป่าประดู่
PrachinBuri,วัดป่าเกษมสุข
PrachinBuri,วัดป่าเมืองเก่า
PrachinBuri,วัดป่าญาณวิสุทธาวาส
PrachinBuri,วัดบ้านเขาถ้ำ
PrachinBuri,วัดป่าอุดมสุข
PrachinBuri,วัดแก่งดินสอ
PrachinBuri,วัดคลองมะไฟ
PrachinBuri,วัดทับไทรธรรมาราม
PrachinBuri,วัดคลองปลาดุกลาย
PrachinBuri,วัดทุ่งแฝก
PrachinBuri,วัดโพธาราม
PrachinBuri,วัดด่านตะกั่วสามัคคี
PrachinBuri,วัดโนนสูง
PrachinBuri,วัดบุสูง
PrachinBuri,วัดพันธ์ศรี
PrachinBuri,วัดระเบาะเกตุ
PrachinBuri,วัดสระจาน
PrachinBuri,วัดสระแท่น
PrachinBuri,วัดสามัคคีพัฒนาราม
PrachinBuri,วัดทับลาน
PrachinBuri,วัดชะอม
PrachinBuri,วัดทุ่งวิจิตร
PrachinBuri,วัดโคกกระจง
PrachinBuri,วัดโคกสว่าง
PrachinBuri,วัดทุ่งสามัคคี
PrachinBuri,วัดบูรณะราษฎร์ศรัทธาทำ
PrachinBuri,วัดผาสุขไพบูลย์
PrachinBuri,วัดโพธิ์ศรี
PrachinBuri,วัดรัตนเนตตาราม
PrachinBuri,วัดสารวนาราม
PrachinBuri,วัดหนองแหน
PrachinBuri,วัดกระทุ่มแพ้ว
PrachinBuri,วัดสมบูรณ์ทรัพย์
PrachinBuri,วัดคลองเฆ่
PrachinBuri,วัดคลองหอทอง
PrachinBuri,วัดบางเตย
PrachinBuri,วัดยายเม้าเตี้ย
PrachinBuri,วัดบางต้นจิก
PrachinBuri,วัดบางแตน
PrachinBuri,วัดนิคมพัฒนา
PrachinBuri,วัดบางปลาร้า
PrachinBuri,วัดวังขอน
PrachinBuri,วัดพิกุลวนาราม
PrachinBuri,วัดพิทักษ์โสภณ
PrachinBuri,วัดหัวไผ่
PrachinBuri,วัดเทพพิทักษ์บุญญาราม
PrachinBuri,วัดใหม่โพธิ์เย็น
PrachinBuri,วัดอินทาราม
PrachinBuri,วัดทวีชลขันธ์
PrachinBuri,วัดบ้านท่ากะทุ่ม
PrachinBuri,วัดบ้านสร้าง
PrachinBuri,วัดมูลเหล็ก
PrachinBuri,วัดพระธาตุพงษ์คุณ
PrachinBuri,วัดไชยมงคล
PrachinBuri,วัดบ้านด่านศรัทธาอุดม
PrachinBuri,วัดมงคลชัย
PrachinBuri,วัดสัปปโคน
PrachinBuri,วัดหนองกระจับ
PrachinBuri,วัดกำแพง
PrachinBuri,วัดเกตุการาม
PrachinBuri,วัดคำภู
PrachinBuri,วัดคำเลียบ
PrachinBuri,วัดตะเคียนทอง
PrachinBuri,วัดนิโครธาวาส
PrachinBuri,วัดเนินสูง
PrachinBuri,วัดมะกอกแก้ว
PrachinBuri,วัดศรีจันทราราม
PrachinBuri,วัดศรีสุทธาวาส
PrachinBuri,วัดสอนิมิตร
PrachinBuri,วัดสามัคคีธรรม
PrachinBuri,วัดหนองคุ้ม
PrachinBuri,วัดใหม่กวางทอง
PrachinBuri,วัดอรัญญาราม
PrachinBuri,วัดจันทรังษี
PrachinBuri,วัดดงบัง
PrachinBuri,วัดเนินผาสุข
PrachinBuri,วัดบ้านโนน
PrachinBuri,วัดศรีมงคล
PrachinBuri,วัดเกาะแดง
PrachinBuri,วัดเกาะมะไฟ
PrachinBuri,วัดคลองคล้า
PrachinBuri,วัดบ้านหอย
PrachinBuri,วัดหนองชาติ
PrachinBuri,วัดขิงกระชาย
PrachinBuri,วัดโคกสว่าง
PrachinBuri,วัดตะคร้อ
PrachinBuri,วัดนาแขม
PrachinBuri,วัดบ้านด่าน
PrachinBuri,วัดบ้านหว้าน
PrachinBuri,วัดบุฝ้าย
PrachinBuri,วัดแจ้ง
PrachinBuri,วัดดงไชยมัน
PrachinBuri,วัดทัพช้าง
PrachinBuri,วัดบางไผ่
PrachinBuri,วัดศรีประจันตคาม
PrachinBuri,วัดเขาน้อย
PrachinBuri,วัดโคกกรวด
PrachinBuri,วัดโคกบ้าน
PrachinBuri,วัดโคกอู่ทอง
PrachinBuri,วัดโนนสะอาด
PrachinBuri,วัดบ้านคุ้ม
PrachinBuri,วัดบ้านยาง
PrachinBuri,วัดประจันตคามเสมาราม
PrachinBuri,วัดประเถท
PrachinBuri,วัดพรหมรังษี
PrachinBuri,วัดโพธิ์งาม
PrachinBuri,วัดอินทร์ไตรย์
PrachinBuri,วัดโคกเขื่อน
PrachinBuri,วัดไทรงาม
PrachinBuri,วัดพรหมประสิทธิ์
PrachinBuri,วัดหนองแก้ว
PrachinBuri,วัดบ้านไผ่
PrachinBuri,วัดประดิษฐาราม
PrachinBuri,วัดประสาทรังสฤษดิ์
PrachinBuri,วัดหนองหัวคู
PrachinBuri,วัดทุ่งยาว
PrachinBuri,วัดบ้านโง้ง
PrachinBuri,วัดประจันตคามเสมาราม
PrachinBuri,วัดคชสารมุนี
PrachinBuri,วัดท้าวอู่ทอง
PrachinBuri,วัดบึง
PrachinBuri,วัดป่ามะไฟ
PrachinBuri,วัดคุ้มเจริญ
PrachinBuri,วัดโคกมะกอก
PrachinBuri,วัดดงขี้เหล็ก
PrachinBuri,วัดธรรมารังสฤษฎิ์
PrachinBuri,วัดธรรมารามประดิษฐ
PrachinBuri,วัดนิโครธาวาส
PrachinBuri,วัดประสาธน์รังสรรค์
PrachinBuri,วัดภักดีสุนทราวาส
PrachinBuri,วัดรัตนรังษี
PrachinBuri,วัดศรีเงินเจริญสุข
PrachinBuri,วัดศรีเจริญราษฎร์ศรัทธาธรรม
PrachinBuri,วัดศรีมงคล
PrachinBuri,วัดสุนทรศรัทธาธรรม
PrachinBuri,วัดหนองจวง
PrachinBuri,วัดชัยมงคลอุบลแสวงธรรม
PrachinBuri,วัดหนองทะเล
PrachinBuri,วัดแก้วสามัคคี
PrachinBuri,วัดดงพระราม
PrachinBuri,วัดลำดวน
PrachinBuri,วัดหนองกระจับ
PrachinBuri,วัดกระแจะ
PrachinBuri,วัดเลียบ
PrachinBuri,วัดหาดสะแก
PrachinBuri,วัดเขาพระธรรมขันธ์
PrachinBuri,วัดท่าศาลา
PrachinBuri,วัดธารเลา
PrachinBuri,วัดนาปรือ
PrachinBuri,วัดเนินบาก
PrachinBuri,วัดเนินไม้หอม
PrachinBuri,วัดเนินสูงวนาลัย
PrachinBuri,วัดเนินหอม
PrachinBuri,วัดเนื่องเกียรตินิกร
PrachinBuri,วัดบ่อแร่
PrachinBuri,วัดบูรพาราม
PrachinBuri,วัดวังน้ำขุ่น
PrachinBuri,วัดหนองงูเหลือม
PrachinBuri,วัดหนองเต่า
PrachinBuri,วัดหนองแท่นพระ
PrachinBuri,วัดห้วยเกษียร
PrachinBuri,วัดใหม่สูงเนิน
PrachinBuri,วัดดงคุย
PrachinBuri,วัดดงยาง
PrachinBuri,วัดทุ่งตะลุมพุก
PrachinBuri,วัดทุ่งไม้ค้าง
PrachinBuri,วัดเทพประสิทธยาราม
PrachinBuri,วัดบางแขยง
PrachinBuri,วัดประชาวาสอัมพวัน
PrachinBuri,วัดสุวรรณวิทยาราม
PrachinBuri,วัดสามัคคีภิรมย์
PrachinBuri,วัดหัวกรด
PrachinBuri,วัดสง่างาม
PrachinBuri,วัดเขาอีโต้
PrachinBuri,วัดเนินดินแดง
PrachinBuri,วัดบ้านพระ
PrachinBuri,วัดบ้านยาง
PrachinBuri,วัดหนองจอก
PrachinBuri,วัดหนองบัว
PrachinBuri,วัดหนองประเทือง
PrachinBuri,วัดหัวเขา
PrachinBuri,วัดเกาะเค็ดนอก
PrachinBuri,วัดเกาะเค็ดใน
PrachinBuri,วัดจิกสูง
PrachinBuri,วัดท่าเรือ
PrachinBuri,วัดเนินอีแจน
PrachinBuri,วัดหนองชะอม
PrachinBuri,วัดหนองปรือ
PrachinBuri,วัดแหลมไผ่
PrachinBuri,วัดแหลมหิน
PrachinBuri,วัดบางคาง
PrachinBuri,วัดบางตาล่า
PrachinBuri,วัดเรไร
PrachinBuri,วัดต้นสะตือ
PrachinBuri,วัดโบสถ์
PrachinBuri,วัดสันทรีย์
PrachinBuri,วัดแจ้ง
PrachinBuri,วัดเทวบุตร
PrachinBuri,วัดศรีมงคล
PrachinBuri,วัดหลวงปรีชากุล
PrachinBuri,วัดอุดมวิทยาราม
PrachinBuri,วัดห้วยเกษียรใหญ่
PrachinBuri,วัดป่าทรงคุณ
PrachinBuri,วัดโยธาราษฎร์ศรัทธาธรรม
PrachinBuri,วัดป่าเนินกลาง
PrachinBuri,วัดอมาตยาราม
PrachinBuri,วัดปวิเวการาม
PrachinBuri,วัดมะกอกสีมาราม
PrachinBuri,วัดนาบุญเฉลิมราษฎร์
PrachinBuri,วัดทุ่งประพาส
PrachinBuri,วัดราษฎร์เจริญศรัทธาธรรม
PrachinBuri,วัดสุทธิธรรม
PrachinBuri,วัดแสงจันทร์
PrachinBuri,วัดใหม่นาบุญ
PrachinBuri,วัดชัยมงคล
PrachinBuri,วัดดอนใหญ่
PrachinBuri,วัดราษฎร์นิยม
PrachinBuri,วัดใหม่ดงกระทงยาม
PrachinBuri,วัดบุยายใบ
PrachinBuri,วัดโป่งไผ่
PrachinBuri,วัดหลังถ้ำ
PrachinBuri,วัดประทุมบูชา
PrachinBuri,วัดมะขามทอง
PrachinBuri,วัดหนองหอย
PrachinBuri,วัดหว้าเอน
PrachinBuri,วัดใหม่กรงทอง
PrachinBuri,วัดอินทรแบก
PrachinBuri,วัดบ้านกุดตาเสก
PrachinBuri,วัดสัมพันธ์
PrachinBuri,วัดนพคุณทอง
PrachinBuri,วัดประทุมวนาวาส
PrachinBuri,วัดปรือวนาราม
PrachinBuri,วัดปรือวายใหญ่
PrachinBuri,วัดแปลงประดู่
PrachinBuri,วัดโพธิญาณ
PrachinBuri,วัดหนองโพรง
PrachinBuri,วัดใหม่ประชุมชน
PrachinBuri,วัดเกาะแก้วสถาวร
PrachinBuri,วัดเกาะสมอ
PrachinBuri,วัดคลองสมบูรณ์
PrachinBuri,วัดโคกอุดมดี
PrachinBuri,วัดเนินผาสุกผลาราม
PrachinBuri,วัดป่าโพธิ์แก้ว
PrachinBuri,วัดหนองปรือน้อย
PrachinBuri,วัดหนองระเนตร
PrachinBuri,วัดหนองหูช้าง
PrachinBuri,วัดหัวซาธรรมิการาม
PrachinBuri,วัดหัวหว้าสามัคคี
PrachinBuri,วัดธรรมโพธิศรี
PrachinBuri,วัดลิรัญดอน
PrachinBuri,วัดป่าหนองใหญ่
PrachinBuri,วัดเขาดิน
PrachinBuri,วัดป่าทรงธรรม
PrachinBuri,วัดบุพพาราม
PrachinBuri,วัดมาบเหียง
PrachinBuri,วัดป่าญาณสิริสุทธาราม
PrachinBuri,วัดคู้ลำพัน
PrachinBuri,วัดราษฎร์รังสฤษฎิ์
PrachinBuri,วัดโคกพนมดี
PrachinBuri,วัดสระข่อย
PrachinBuri,วัดสระมรกต
PrachinBuri,วัดสามัคคีสุขาราม
PrachinBuri,วัดแสงสว่าง
PrachinBuri,วัดหนองเกตุ
PrachinBuri,วัดโคกปีบ
PrachinBuri,วัดต้นโพธิ์ศรีมหาโพธิ
PrachinBuri,วัดม่วงขาว
PrachinBuri,วัดสระมะเขือ
PrachinBuri,วัดหนองสะแก
PrachinBuri,วัดไผ่งาม
PrachinBuri,วัดสนามพลี
PrachinBuri,วัดพรหมเสนาราม
PrachinBuri,วัดป่าทรงนิมิตร
PrachinBuri,วัดป่าทรงธรรม
prayao,วัดพระธาตุกู่ตั้ง
prayao,วัดสั่นป่างิ้วงาม
prayao,วัดพระธาตุสบแวน
prayao,วัดพระธาตุจอมคีรีเวียงหม้าย
prayao,วัดสันบัวบก
prayao,วัดศรีดอนแก้ว
prayao,วัดห้วยเกี๋ยง
prayao,วัดแม่กาห้วยเคียน
prayao,วัดศรีเมืองมาง
prayao,วัดบุญโยง
prayao,วัดล้า
prayao,วัดบ้านแฮะ
prayao,วัดป่าหนองหวี
prayao,วัดปางวัว
prayao,วัดนาดอ
prayao,วัดสางเหนือ
prayao,วัดศรีบุญยืน
prayao,วัดห้วยขุ่น
prayao,วัดร่องคำ
prayao,วัดอนาลโยทิพยาราม
prayao,วัดสา
prayao,วัดบุญเกิด
prayao,วัดบุญยืน
prayao,วัดพระธาตุต้นฝาง
prayao,วัดแม่สุกธาตุ
prayao,วัดหนองร่มเย็น 
prayao,วัดทุ่งควบ
prayao,วัดคุ้ม
prayao,วัดท่าร้อง
prayao,วัดหัวขัว
prayao,วัดเชียงคาน
prayao,วัดหัวทุ่ง
prayao,วัดทราย
prayao,วัดร่องไฮ
prayao,วัดฝายหิน
prayao,วัดศรีปิงเมือง
prayao,วัดสันหลวง
prayao,วัดพระธาตุดอยคำ
prayao,วัดปิน
prayao,วัดห้วยเคียน
prayao,วัดพระธาตุจำไก่
prayao,วัดร่องเข็ม
prayao,วัดสุวรรณคูหา
prayao,วัดเจดีย์งาม
prayao,วัดบ้านโซ้
prayao,วัดงิ้วหงกเวียงโกมคำนคร
prayao,วัดสันเวียงใหม่
prayao,วัดพระธาตุจอมไคร้
prayao,วัดศรีโคมคำ
prayao,วัดหนองขวง
prayao,วัดสันปูเลย
prayao,วัดดอนเงิน
prayao,วัดห้วยทรายคำ
prayao,วัดสันดอนแก้ว
prayao,วัดฝั่งหมิ่น
prayao,วัดทุ่งกาไชย
prayao,วัดปางผักหม
prayao,วัดใหม่น้ำเงิน
prayao,วัดดู่
prayao,วัดอินทร์ฐาน
prayao,วัดปัวดอย
prayao,วัดแม่ต๋อมใน
prayao,วัดผาฮาว
prayao,วัดพระธาตุภูปอ 
prayao,วัดหัวข่วงแก้ว
prayao,วัดต๊ำนกกก
prayao,วัดทุ่งกว๋าว
prayao,วัดฮวก
prayao,วัดศรีบุญชุม
prayao,วัดร้อง
prayao,วัดอนุมัติวงศ์
prayao,วัดดอนตัน
prayao,วัดกาดถี
prayao,วัดพระธาตุโป่งขาม
prayao,วัดศรีจอมแจ้ง
prayao,วัดปี้
prayao,วัดศรีเมืองมูล
prayao,วัดศรีพรมบัวนาค
prayao,วัดห้วยลึก
prayao,วัดป่าแดด
prayao,วัดพระธาตุมุงเมือง
prayao,วัดทุ่งกล้วย
prayao,วัดสันป่าก้าว
prayao,วัดเหล่าธาตุ
prayao,วัดสลาบ
prayao,วัดรัตนคูหาวนาราม
prayao,วัดกู่ผางลาง
prayao,วัดแวนโค้ง
prayao,วัดปัว
prayao,วัดราชคฤห์
prayao,วัดนาอ้อม
prayao,วัดศรีเมืองชุม
prayao,วัดใหม่บ้านบอน
prayao,วัดหาดแฟน
prayao,วัดสันต้นแหน
prayao,วัดไทยสุภาพ
prayao,วัดห้วยผาเกี๋ยง
prayao,วัดสันป่าพาด
prayao,วัดแม่นาเรือ
prayao,วัดป่าแดง
prayao,วัดหล่ายพัฒนา
prayao,วัดจำปาหลวง
prayao,วัดแม่กาโทกหวาก
prayao,วัดห้วยยางขาม
prayao,วัดช้างหิน
prayao,วัดแก
prayao,วัดท่ากลอง
prayao,วัดต๊ำป่าลาน
prayao,วัดน้ำฮาก
prayao,วัดเปื๋อยเปียง
prayao,วัดป่าคา
prayao,วัดดอกบัว
prayao,วัดจำไก่
prayao,วัดต้นต้องเวียงโกมคำนคร
prayao,วัดบ้านธาตุ
prayao,วัดหนองบัว
prayao,วัดปงสนุก
prayao,วัดแบ่ง
prayao,วัดบ้านเหยี่ยน
prayao,วัดดอนแก้ว
prayao,วัดสักสัน
prayao,วัดศรีกู่เอี้ยง
prayao,วัดแม่ทาย
prayao,วัดศรีดอนชัย
prayao,วัดบ่อเบี้ย
prayao,วัดหนองเลา
prayao,วัดห้วยไคร้
prayao,วัดไชยสถาน
prayao,วัดศรีอุโมงค์คำ
prayao,วัดพระธาตุจำม่วง
prayao,วัดสันต้นม่วง
prayao,วัดแสะ
prayao,วัดสระ
prayao,วัดศรีบังวัน
prayao,วัดกว้าน
prayao,วัดสันกำแพง
prayao,วัดทุ่งกิ่ว
prayao,วัดบ้านตุ่น
prayao,วัดกิ่วชมภู
prayao,วัดโป่งเกลือ
prayao,วัดไร่แสนสุข
prayao,วัดเกษศรี
prayao,วัดศรีไฮคำ
prayao,วัดพระธาตุขุนห้วยสวด
prayao,วัดปางถ้ำ
prayao,วัดต๊ำดอนมูล
prayao,วัดสันต้นหวีด
prayao,วัดใหม่พัฒนา 
prayao,วัดแม่เย็นใต้
prayao,วัดตุ่นกลาง
prayao,วัดทุ่งแต
prayao,วัดสันกลาง
prayao,วัดบ้านปุ 
prayao,วัดกำแพงหิน
prayao,วัดร่องดู่
prayao,วัดปงใหม่
prayao,วัดห้วยแก้วหลวง
prayao,วัดร่องคือ
prayao,วัดวังเค็มใหม่
prayao,วัดจำปา
prayao,วัดพระธาตุจอมทอง
prayao,วัดม่วงคำ
prayao,วัดควร
prayao,วัดเมืองอิงหลวง
prayao,วัดร่องปอ
prayao,วัดบ้านไร่
prayao,วัดห้วยหม้อ
prayao,วัดพระธาตุแจ่โห้ว
prayao,วัดท่าจำปี
prayao,วัดต๊ำน้ำล้อม
prayao,วัดศรีดอนชัย 
prayao,วัดแช่แห้ง
prayao,วัดหย่วน
prayao,วัดต๋อมใต้
prayao,วัดสันกว๊าน
prayao,วัดโพธาราม
prayao,วัดร่องค้อม
prayao,วัดวังบง
prayao,วัดกองแล
prayao,วัดน้ำปุก
prayao,วัดกิ่วแก้ว
prayao,วัดสบสา
prayao,วัดทุ่งหลวง
prayao,วัดศรีดอนตัน
prayao,วัดป่าแฝกเหนือ
prayao,วัดหัวนา
prayao,วัดทุ่งเย็น
prayao,วัดเนินสมบูรณ์วนาราม
prayao,วัดสีพรม
prayao,วัดใหม่ดอนมูล
prayao,วัดต๊ำกลาง
prayao,วัดใหม่ต้นฝาง
prayao,วัดห้วยเคียนเหนือ
prayao,วัดดอนมูล
prayao,วัดพวงพยอม
prayao,วัดไชยพรม
prayao,วัดสร้อยศรี
prayao,วัดบ้านซ่อน
prayao,วัดปันเจิง
prayao,วัดทุ่งต้นศรี
prayao,วัดบุญโยชน์
prayao,วัดก๊อน้อย
prayao,วัดร่องส้าน
prayao,วัดทุ่งติ้ว
prayao,วัดท่าฟ้าเหนือ
prayao,วัดพระธาตุดอยน้อย
prayao,วัดราษฎร์บำรุง
prayao,วัดประชาสามัคคี 
prayao,วัดจนหลวง
prayao,วัดศรีสำราญ
prayao,วัดหนองสระ
prayao,วัดป่ากล้วยงาม
prayao,วัดหล่ายทุ่ง
prayao,วัดดอนไชย
prayao,วัดดงบุญนาค
prayao,วัดดอยกู่ไก่แก้ว 
prayao,วัดสันทราย
prayao,วัดป่าลานคำ
prayao,วัดผาลาด
prayao,วัดปง
prayao,วัดไชยพฤกษ์
prayao,วัดศรีเกิด
prayao,วัดสระใต้
prayao,วัดสักลอ
prayao,วัดสันป่าเหียง
prayao,วัดแม่กาไร่
prayao,วัดปทุมทอง
prayao,วัดป่าม่วง
prayao,วัดพระธาตุขิงแกง
prayao,วัดห้วยงิ้ว
prayao,วัดงุ้นพัฒนา
prayao,วัดเนินสามัคคี
prayao,วัดม่วง
prayao,วัดบุญเรือง
prayao,วัดพระธาตุแสงแก้วมงคล
prayao,วัดภูเงิน
prayao,วัดน้ำแป้งพนาราม
prayao,วัดพระธาตุดอยจุก
prayao,วัดวังถ้ำ
prayao,วัดร้องใหม่
prayao,วัดแสนเมืองมา
prayao,วัดหงส์หิน
prayao,วัดหม้อแกงทอง
prayao,วัดนาเจริญ
prayao,วัดผาช้างมูบ
prayao,วัดทุ่งรวงทอง
prayao,วัดน้ำมิน
prayao,วัดดาวเรือง
prayao,วัดศรีจอมเรือง
prayao,วัดท่าฟ้าใต้
prayao,วัดทุ่มท่า
prayao,วัดบัวหล่าย 
prayao,วัดสงเคราะห์ราษฎร์
prayao,วัดศรีมงคล
prayao,วัดฝายแก้ว
prayao,วัดไชยอาวาส
prayao,วัดอารามป่าน้อย
prayao,วัดทัศนาราม
prayao,วัดศรีสุพรรณ
prayao,วัดสุจิตธรรม 
prayao,วัดบุญชุม
prayao,วัดแม่พริกเทพนิมิตร
prayao,วัดดอนเรือง
prayao,วัดวังเค็มเก่า
prayao,วัดสันหมื่นแก้ว
prayao,วัดห้วยสิงห์
prayao,วัดปางป้อม
